,Unnamed: 0,pl_hostname,pl_letter,pl_name,pl_pnum,pl_orbper,pl_orbsmax,pl_orbeccen,pl_bmassj,pl_dens,st_teff,st_mass,st_rad,pl_cbflag,pl_eqt,pl_rade,pl_trandur,pl_ratdor,st_lum,st_dens,st_age,st_umbj,pl_kepflag,pl_k2flag,st_dist,st_optmag,pl_facility,pl_disc,pl_locale,pl_telescope,pl_instrument,pl_mnum,pl_pelink
0,0,HD 142022 A,b,HD 142022 A b,1,1928.0,2.93,0.53,4.44,,5421.0,0.9,1.04,0,,,,,,,,,0,0,34.31,7.7,La Silla Observatory,2005,Ground,1.2 m Leonhard Euler Telescope,CORALIE Spectrograph,0,http://exoplanet.eu/catalog/hd_142022_a_b/
1,1,HD 39091,c,pi Men c,2,6.2679,0.06838999999999999,0.0,0.01517,2.97,6037.0,1.09,1.1,0,1170.0,2.042,0.12304169999999999,13.38,0.16,1.148,2.98,0.11,0,0,18.28,5.67,Transiting Exoplanet Survey Satellite (TESS),2018,Space,0.1 m TESS Telescope,TESS CCD Array,0,http://exoplanet.eu/catalog/pi_men_c/
2,2,HD 39091,b,HD 39091 b,2,2093.07,3.1,0.637,10.02,,6037.0,1.09,1.1,0,,,,,0.16,1.148,2.98,0.11,0,0,18.28,5.67,Anglo-Australian Telescope,2001,Ground,3.9 m Anglo-Australian Telescope,UCLES Spectrograph,0,http://exoplanet.eu/catalog/hd_39091_b/
3,3,HD 137388,b,HD 137388 b,1,330.0,0.89,0.36,0.2,,5181.0,0.68,0.88,0,,,,,,,,,0,0,40.53,8.696,La Silla Observatory,2011,Ground,3.6 m ESO Telescope,HARPS Spectrograph,0,http://exoplanet.eu/catalog/hd_137388_b/
4,4,GJ 3021,b,GJ 3021 b,1,133.71,0.49,0.511,3.37,,5540.0,0.9,0.9,0,350.0,,,,-0.18,,,,0,0,17.56,6.59,La Silla Observatory,2000,Ground,1.2 m Leonhard Euler Telescope,CORALIE Spectrograph,0,http://exoplanet.eu/catalog/gj_3021_b/
5,5,HD 63454,b,HD 63454 b,1,2.81805,0.04,0.0,0.25,,4812.0,0.42,0.77,0,,,,,,,,,0,0,37.73,9.37,La Silla Observatory,2005,Ground,3.6 m ESO Telescope,HARPS Spectrograph,0,http://exoplanet.eu/catalog/hd_63454_b/
6,6,HD 212301,b,HD 212301 b,1,2.24571,0.03,0.0,0.51,,6239.0,1.55,1.16,0,,,,,,,,,0,0,54.32,7.763999999999999,La Silla Observatory,2005,Ground,3.6 m ESO Telescope,HARPS Spectrograph,0,http://exoplanet.eu/catalog/hd_212301_b/
7,7,CHXR 73,b,CHXR 73 b,1,,210.0,,12.569,,,0.35,,0,,,,,,,0.002,,0,0,191.05,,Hubble Space Telescope,2006,Space,2.4 m Hubble Space Telescope,ACS Camera,0,http://exoplanet.eu/catalog/chxr_73_b/
8,8,HD 221420,b,HD 221420 b,1,22482.0,18.5,0.42,9.7,,5830.0,1.67,,0,,,,,,,,0.31,0,0,31.17,5.81,Anglo-Australian Telescope,2019,Ground,3.9 m Anglo-Australian Telescope,UCLES Spectrograph,0,http://exoplanet.eu/catalog/hd_221420_b/
9,9,CT Cha,b,CT Cha b,1,,440.0,,17.0,,,,,0,2600.0,24.66,,,,,0.002,,0,0,165.0,,Paranal Observatory,2007,Ground,8.2 m ESO VLT UT4 Yepun Telescope,NACO Camera,0,http://exoplanet.eu/catalog/ct_cha_b/
10,10,HD 2685,b,HD 2685 b,1,4.12688,0.0568,0.091,1.17,,6801.0,1.43,1.56,0,2061.0,16.141,,7.6974,0.6679999999999999,,1.31,,0,0,197.98,,Transiting Exoplanet Survey Satellite (TESS),2019,Space,0.1 m TESS Telescope,TESS CCD Array,0,http://exoplanet.eu/catalog/hd_2685_b/
11,11,HD 196067,b,HD 196067 b,1,3638.0,5.02,0.66,6.9,,6017.0,1.29,1.73,0,,,,,0.5720000000000001,,3.3,0.19,0,0,39.98,6.03,La Silla Observatory,2012,Ground,1.2 m Leonhard Euler Telescope,CORALIE Spectrograph,0,http://exoplanet.eu/catalog/hd_196067_b/
12,12,HD 68402,b,HD 68402 b,1,1103.0,2.18,0.03,3.07,,5950.0,1.12,1.02,0,,,,,0.068,,2.0,,0,0,78.61,9.11,Multiple Observatories,2016,Ground,Multiple Telescopes,Multiple Instruments,0,http://exoplanet.eu/catalog/hd_68402_b/
13,13,HD 38283,b,HD 38283 b,1,363.20001,1.02,0.41,0.4,,5981.0,1.37,1.49,0,,,,,,,,,0,0,38.1,6.696000000000001,Anglo-Australian Telescope,2010,Ground,3.9 m Anglo-Australian Telescope,UCLES Spectrograph,0,http://exoplanet.eu/catalog/hd_38283_b/
14,14,TOI 150,b,TOI 150.01,1,5.857342,0.0583,0.0,1.75,0.83,6003.0,1.25,1.55,0,1493.0,15.468,0.2495833,8.08,,0.47,4.3,,0,0,336.0,,Transiting Exoplanet Survey Satellite (TESS),2019,Space,0.1 m TESS Telescope,TESS CCD Array,0,http://exoplanet.eu/catalog/toi-150_b/
15,15,HD 131664,b,HD 131664 b,1,1951.0,3.17,0.64,19.12,,5892.0,1.19,1.08,0,,,,,,,,,0,0,52.89,8.128,La Silla Observatory,2008,Ground,3.6 m ESO Telescope,HARPS Spectrograph,0,http://exoplanet.eu/catalog/hd_131664_b/
16,16,HD 20003,c,HD 20003 c,2,33.9239,0.1964,0.1,0.0454,,5494.0,0.88,,0,,,,,-0.14300000000000002,,,,0,0,43.8,8.39,La Silla Observatory,2019,Ground,3.6 m ESO Telescope,HARPS Spectrograph,0,http://exoplanet.eu/catalog/hd_20003_c/
17,17,HD 20003,b,HD 20003 b,2,11.8482,0.0974,0.36,0.0367,,5494.0,0.88,,0,,,,,-0.14300000000000002,,,,0,0,43.8,8.39,La Silla Observatory,2019,Ground,3.6 m ESO Telescope,HARPS Spectrograph,0,http://exoplanet.eu/catalog/hd_20003_b/
18,18,HD 108341,b,HD 108341 b,1,1129.0,2.0,0.85,3.5,,5122.0,0.84,0.79,0,,,,,,,4.9,,0,0,49.4,9.36,La Silla Observatory,2014,Ground,3.6 m ESO Telescope,HARPS Spectrograph,0,http://exoplanet.eu/catalog/hd_108341_b/
19,19,HD 222076,b,HD 222076 b,1,871.0,1.83,0.08,1.56,,4806.0,1.07,4.1,0,,,,,0.929,,,,0,0,91.39,7.459,Multiple Observatories,2016,Ground,Multiple Telescopes,Multiple Instuments,0,http://exoplanet.eu/catalog/hd_222076_b/
20,20,HD 100546,b,HD 100546 b,1,,53.0,,,,10500.0,2.4,,0,,77.342,,,1.5,,0.005,,0,0,110.02,6.704,Paranal Observatory,2014,Ground,8.2 m ESO VLT UT4 Yepun Telescope,NACO Camera,0,
21,21,WASP-91,b,WASP-91 b,1,2.798581,0.037000000000000005,0.0,1.34,1.59,4920.0,0.84,0.86,0,1160.0,11.545,0.0976,9.1,,1.83,,,0,0,150.59,12.0,SuperWASP-South,2017,Ground,Canon 200mm f/1.8L,iKon-L CCD Camera,0,http://exoplanet.eu/catalog/wasp-91_b/
22,22,HD 216437,b,HD 216437 b,1,1334.28,2.497,0.317,2.2230000000000003,,5909.0,1.17,1.39,0,,,,,,,4.75,0.24,0,0,26.71,6.057,Anglo-Australian Telescope,2002,Ground,3.9 m Anglo-Australian Telescope,UCLES Spectrograph,0,http://exoplanet.eu/catalog/hd_216437_b/
23,23,HD 24085,b,HD 24085 b,1,2.0455,0.034,0.22,0.03713,,6034.0,1.22,,0,,,,,,,,,0,0,54.99,7.564,Las Campanas Observatory,2019,Ground,6.5 m Magellan II Clay Telescope,Carnegie Planet Finder Spectrograph,0,http://exoplanet.eu/catalog/hd_24085_b/
24,24,HD 175167,b,HD 175167 b,1,1290.0,2.4,0.54,8.97,,5635.0,1.37,1.75,0,,,,,,,,,0,0,71.23,8.01,Las Campanas Observatory,2009,Ground,6.5 m Magellan II Clay Telescope,MIKE Spectrograph,0,http://exoplanet.eu/catalog/hd_175167_b/
25,25,WASP-126,b,WASP-126 b,1,3.2888,0.0449,0.18,0.28,0.41,5800.0,1.12,1.27,0,1480.0,10.761,0.142,7.6339999999999995,,0.79,6.4,,0,0,234.0,10.8,SuperWASP-South,2016,Ground,Canon 200mm f/1.8L,iKon-L CCD Camera,0,http://exoplanet.eu/catalog/wasp-126_b/
26,26,DS Tuc A,b,DS Tuc A b,1,8.138268,,0.0,,,5428.0,1.01,0.96,0,850.0,5.7,0.13235,20.35,-0.14,2.4,0.045,,0,0,44.12,8.469,Transiting Exoplanet Survey Satellite (TESS),2019,Space,0.1 m TESS Telescope,TESS CCD Array,0,http://exoplanet.eu/catalog/ds_tuc_a_b/
27,27,LHS 3844,b,LHS 3844 b,1,0.46292913,0.006220000000000001,,,,3036.0,0.15,0.19,0,805.0,1.3030000000000002,0.0217167,7.109,-2.565,31.73,,,0,0,14.9,15.26,Transiting Exoplanet Survey Satellite (TESS),2019,Space,0.1 m TESS Telescope,TESS CCD Array,0,http://exoplanet.eu/catalog/lhs_3844_b/
28,28,HD 129445,b,HD 129445 b,1,1840.0,2.9,0.7,1.6,,,0.99,,0,,,,,,,,,0,0,67.57,8.8,Las Campanas Observatory,2009,Ground,6.5 m Magellan II Clay Telescope,MIKE Spectrograph,0,http://exoplanet.eu/catalog/hd_129445_b/
29,29,HD 95086,b,HD 95086 b,1,,55.7,,5.0,,,1.6,,0,1000.0,,,,,,0.017,,0,0,86.44,7.36,Paranal Observatory,2013,Ground,8.2 m ESO VLT UT4 Yepun Telescope,NACO Camera,0,http://exoplanet.eu/catalog/hd_95086_b/
30,30,HD 111232,b,HD 111232 b,1,1143.0,1.97,0.2,7.14,,5512.0,0.84,0.9,0,,,,,,,,,0,0,28.98,7.59,La Silla Observatory,2003,Ground,1.2 m Leonhard Euler Telescope,CORALIE Spectrograph,0,http://exoplanet.eu/catalog/hd_111232_b/
31,31,L 98-59,c,L 98-59 c,3,3.6906209999999997,0.0324,0.09,,,3367.0,0.31,0.31,0,,1.35,0.05166669999999999,22.5,-1.9469999999999998,15.8,1.0,,0,0,10.62,,Transiting Exoplanet Survey Satellite (TESS),2019,Space,0.1 m TESS Telescope,TESS CCD Array,0,http://exoplanet.eu/catalog/l_98-59_c/
32,32,L 98-59,b,L 98-59 b,3,2.25314,0.0233,0.1,,,3367.0,0.31,0.31,0,,0.8,0.0425,16.2,-1.9469999999999998,15.8,1.0,,0,0,10.62,,Transiting Exoplanet Survey Satellite (TESS),2019,Space,0.1 m TESS Telescope,TESS CCD Array,0,http://exoplanet.eu/catalog/l_98-59_b/
33,33,L 98-59,d,L 98-59 d,3,7.4508600000000005,0.052000000000000005,0.2,,,3367.0,0.31,0.31,0,,1.57,0.0379167,37.4,-1.9469999999999998,15.8,1.0,,0,0,10.62,,Transiting Exoplanet Survey Satellite (TESS),2019,Space,0.1 m TESS Telescope,TESS CCD Array,0,http://exoplanet.eu/catalog/l_98-59_d/
34,34,HD 11977,b,HD 11977 b,1,711.0,1.93,0.4,6.54,,4970.0,1.91,10.09,0,,,,,,,1.2,0.64,0,0,68.05,4.69,La Silla Observatory,2005,Ground,Multiple Telescopes,FEROS Spectrograph,0,http://exoplanet.eu/catalog/hd_11977_b/
35,35,HD 76920,b,HD 76920 b,1,415.4,1.149,0.856,3.93,,4698.0,1.17,7.47,0,,,,,1.38,,7.1,,0,0,184.8,7.817,Multiple Observatories,2017,Ground,Multiple Telescopes,Multiple Instruments,0,http://exoplanet.eu/catalog/hd_76920_b/
36,36,HD 76700,b,HD 76700 b,1,3.97097,0.05,0.09,0.21,,5644.0,0.99,1.37,0,,,,,,,,,0,0,60.99,8.155,Anglo-Australian Telescope,2002,Ground,3.9 m Anglo-Australian Telescope,UCLES Spectrograph,0,http://exoplanet.eu/catalog/hd_76700_b/
37,37,POTS-1,b,POTS-1 b,1,3.1606296,0.03734,,2.31,,4400.0,0.69,0.59,0,,10.548,,,,4.814,,,0,0,1200.0,17.94,La Silla Observatory,2013,Ground,2.2 m MPG/ESO Telescope,WFI Camera,0,http://exoplanet.eu/catalog/pots-1_b/
38,38,HD 181433,b,HD 181433 b,3,9.3743,0.08,0.4,0.02,,4918.0,0.63,0.79,0,,,,,,,,,0,0,26.9,8.4,La Silla Observatory,2008,Ground,3.6 m ESO Telescope,HARPS Spectrograph,0,http://exoplanet.eu/catalog/hd_181433_b/
39,39,HD 181433,c,HD 181433 c,3,962.0,1.76,0.28,0.64,,4918.0,0.63,0.79,0,,,,,,,,,0,0,26.9,8.4,La Silla Observatory,2008,Ground,3.6 m ESO Telescope,HARPS Spectrograph,0,http://exoplanet.eu/catalog/hd_181433_c/
40,40,HD 181433,d,HD 181433 d,3,2172.0,3.0,0.48,0.54,,4918.0,0.63,0.79,0,,,,,,,,,0,0,26.9,8.4,La Silla Observatory,2008,Ground,3.6 m ESO Telescope,HARPS Spectrograph,0,http://exoplanet.eu/catalog/hd_181433_d/
41,41,HD 1397,b,HD 1397 b,1,11.53533,0.1097,0.251,0.415,0.47700000000000004,5521.0,1.32,2.34,0,1228.0,11.5,0.3584,10.1,0.66,0.147,4.51,,0,0,79.75,7.781000000000001,Transiting Exoplanet Survey Satellite (TESS),2018,Space,0.1 m TESS Telescope,TESS CCD Array,0,http://exoplanet.eu/catalog/hd_1397_b/
42,42,WD 0806-661,b,WD 0806-661 b,1,,2500.0,,7.5,,,0.62,,0,323.0,,,,,,1.5,,0,0,19.2,,Spitzer Space Telescope,2011,Space,0.85 m Spitzer Space Telescope,IRAC Infrared Array Camera,0,http://exoplanet.eu/catalog/wd_0806-661_b_b/
43,43,HD 175607,b,HD 175607 b,1,29.01,,0.11,0.02825,,5392.0,0.71,0.7,0,,,,,,,10.32,,0,0,40.38,8.61,La Silla Observatory,2015,Ground,3.6 m ESO Telescope,HARPS Spectrograph,0,http://exoplanet.eu/catalog/hd_175607_b/
44,44,HD 7199,b,HD 7199 b,1,615.0,1.36,0.19,0.27,,5371.0,0.77,0.97,0,,,,,,,,,0,0,36.19,8.027000000000001,La Silla Observatory,2011,Ground,3.6 m ESO Telescope,HARPS Spectrograph,0,http://exoplanet.eu/catalog/hd_7199_b/
45,45,HD 4308,b,HD 4308 b,1,15.56,0.12,0.0,0.05,,5686.0,0.93,1.02,0,,,,,,,,,0,0,22.03,6.56,La Silla Observatory,2005,Ground,3.6 m ESO Telescope,HARPS Spectrograph,0,http://exoplanet.eu/catalog/hd_4308_b/
46,46,HIP 63242,b,HIP 63242 b,1,124.6,0.565,0.23,9.18,,4830.0,1.54,,0,,,,,1.63,,,,0,0,157.16,6.871,Multiple Observatories,2013,Ground,Multiple Telescopes,Multiple Instruments,0,http://exoplanet.eu/catalog/hip_63242_b/
47,47,WASP-119,b,WASP-119 b,1,2.49979,0.0363,0.057999999999999996,1.23,0.7,5650.0,1.02,1.2,0,1600.0,15.693,0.126,6.329,,0.76,8.0,,0,0,333.0,12.2,SuperWASP-South,2016,Ground,Canon 200mm f/1.8L,iKon-L CCD Camera,0,http://exoplanet.eu/catalog/wasp-119_b/
48,48,HD 25171,b,HD 25171 b,1,1802.29,2.971,0.042,0.915,,6125.0,1.08,1.23,0,,,,,,,4.802,,0,0,55.7,7.782,La Silla Observatory,2010,Ground,3.6 m ESO Telescope,HARPS Spectrograph,0,http://exoplanet.eu/catalog/hd_25171_b/
49,49,HIP 107773,b,HIP 107773 b,1,144.3,0.72,0.09,1.98,,4945.0,2.42,11.6,0,,,,,1.87,,,0.83,0,0,103.63,5.62,Multiple Observatories,2015,Ground,Multiple Telescopes,Multiple Instruments,0,http://exoplanet.eu/catalog/hip_107773_b/
